entity	frequency	log_frequency
Barack Obama	1362	7.216709486709457
Hillary Clinton	556	6.320768294250582
Sigmund Freud	835	6.727431724850855
J.K. Rowling	460	6.131226489483141
Freddie Mercury	545	6.300785794663244
Britney Spears	900	6.802394763324311
Scarlett Johansson	185	5.220355825078324
Robert De Niro	587	6.375024819828097
Israele	15286	9.63469265580283
Sud Africa	13411	9.50383054471094
New York	77631	11.25972211093469
Rio De Janeiro	6562	8.789050713521046
Cascate del Niagara	219	5.389071729816501
Mar dei Caraibi	429	6.061456918928017
Muraglia Cinese	121	4.795790545596741
Piramidi di Giza	200	5.298317366548036
Machu Picchu	151	5.017279836814924
Canada	35196	10.468687718765452
Silvio Berlusconi	3095	8.037543185118697
Vladimir Putin	738	6.6039438246004725
Ernest Hemingway	453	6.115892125483034
William Shakespeare	5496	8.611775833902186
Bob Dylan	2047	7.624130585661289
Madonna	40713	10.61430273074948
Wolfgang Amadeus Mozart	4612	8.436416881388949
Quentin Tarantino	705	6.558197802812269
Marylin Monroe	739	6.6052979209482015
Woody Allen	815	6.703188113240863
Spagna	57297	10.956003545311264
Germania	383026	12.855858150976186
Regno Unito	66631	11.1069252136985
Roma	160716	11.987394111175123
Parigi	81094	11.303364254629285
Amsterdam	8439	9.040619097157967
Mar Mediterraneo	18506	9.825850282808975
Oceano Atlantico	9326	9.140561477368266
Nilo	4272	8.35983738064003
Oceano Pacifico	12942	9.468233115617211
Torre di Pisa	2891	7.969357742016346
Stonehenge	290	5.66988092298052
Sagrada Familia	142	4.955827057601261
Macchu Picchu	155	5.043425116919247
